"",Campo,Bacia,Localização,Operador,,Queima de Gás
"",,,,,,(Mm3/d)
"",,,,,,
Mero,,Santos,Mar,PETROBRAS,,2.162
Tupi,,Santos,Mar,PETROBRAS,,553
Búzios,,Santos,Mar,PETROBRAS,,528
Frade,,Campos,Mar,PETRO RIO JAGUAR,,228
Sapinhoá,,Santos,Mar,PETROBRAS,,166
Albacora Leste,,Campos,Mar,PETRO RIO JAGUAR,,130
Marlim Sul,,Campos,Mar,PETROBRAS,,121
Sépia,,Santos,Mar,PETROBRAS,,117
Roncador,,Campos,Mar,PETROBRAS,,90
Anc_Mero,,Santos,Mar,PETROBRAS,,78
Jubarte,,Campos,Mar,PETROBRAS,,71
Marlim,,Campos,Mar,PETROBRAS,,66
Marimbá,,Campos,Mar,TRIDENT ENERGY,,50
Atapu,,Santos,Mar,PETROBRAS,,48
Barracuda,,Campos,Mar,PETROBRAS,,46
Sururu,,Santos,Mar,PETROBRAS,,44
Papa-Terra,,Campos,Mar,3R PETROLEUM OFF,,43
Sul de Tupi,,Santos,Mar,PETROBRAS,,36
Marlim Leste,,Campos,Mar,PETROBRAS,,34
Rio Urucu,,Solimões,Terra,PETROBRAS,,31
Total,,,,,,4.643
