Total,n,mes
Total de UEPs,63,2020-04-01
Unidades que retornaram à operação,2,2020-04-01
Unidades que permanecem fora de operação,61,2020-04-01
Total de UEPs que interromperam a produção,67,2020-05-01
UEPs que retornaram à operação,7,2020-05-01
Total de UEPs que permanecem com produção interrompida,60,2020-05-01
Total de UEPs que interromperam a produção,67,2020-06-01
UEPs que retornaram à operação,7,2020-06-01
Total de UEPs que permanecem com produção interrompida,60,2020-06-01
Total de UEPs que interromperam a produção,67,2020-07-01
UEPs que retornaram à operação,7,2020-07-01
Total de UEPs que permanecem com produção interrompida,60,2020-07-01
Total de UEPs que interromperam a produção,67,2020-08-01
UEPs que retornaram à operação,7,2020-08-01
Total de UEPs que permanecem com produção interrompida,60,2020-08-01
Total de UEPs que interromperam a produção,67,2020-09-01
UEPs que retornaram à operação,7,2020-09-01
Total de UEPs que permanecem com produção interrompida,60,2020-09-01
Total de UEPs que interromperam a produção,67,2020-11-01
UEPs que retornaram à operação,7,2020-11-01
Total de UEPs que permanecem com produção interrompida,60,2020-11-01
Total de UEPs que interromperam a produção,67,2020-12-01
UEPs que retornaram à operação,7,2020-12-01
Total de UEPs que permanecem com produção interrompida,60,2020-12-01
Total de UEPs que interromperam a produção,67,2020-10-01
UEPs que retornaram à operação,7,2020-10-01
Total de UEPs que permanecem com produção interrompida,60,2020-10-01
Total de UEPs que interromperam a produção,67,2021-02-01
UEPs que retornaram à operação,7,2021-02-01
Total de UEPs que permanecem com produção interrompida,60,2021-02-01
