"","x"
"1","Os 20 campos marítimos com maior produção acumulada de petróleo (MMbbl) - Referente ao Gráfico 19 do BMP"
"2","Os 20 campos marítimos com maior produção acumulada de gás natural (MMboe) - Referente ao Gráfico 20 do BMP"
"3","Os 20 campos marítimos com maior produção total acumulada em barris de óleo equivalente (MMboe) - Referente ao Gráfico 21 do BMP"
"4","Os 20 campos terrestres com maior produção acumulada de petróleo (MMbbl) - Referente ao Gráfico 22 do BMP"
"5","Os 20 campos terrestres com maior produção acumulada de gás natural (MMboe) - Referente ao Gráfico 23 do BMP"
"6","Os 20 campos terrestres com maior produção acumulada de gás natural (MMboe) - Referente ao Gráfico 24 do BMP"
"7","Os 20 campos marítimos com maior média histórica anual de produção de petróleo (MMbbl/ano) - Referente ao Gráfico 25 do BMP"
"8","Os 20 campos terrestres com maior média histórica anual de produção de petróleo (MMbbl/ano) - Referente ao Gráfico 26 do BMP"
"9","Histórico de Produção de Petróleo e Gás Natural em Terra (Mboe/d)"
"10","Produção dos poços do Pré-sal"
