"","...1","Período","produto"
"1","Petróleo",2016-10-01,139.945363099689
"2","Petróleo",2016-11-01,142.891242036654
"3","Petróleo",2016-12-01,139.222649031955
"4","Petróleo",2017-01-01,136.53893819025
"5","Petróleo",2017-02-01,134.356221777138
"6","Petróleo",2017-03-01,130.273593331455
"7","Petróleo",2017-04-01,127.136248698022
"8","Petróleo",2017-05-01,128.59157528935
"9","Petróleo",2017-06-01,126.564666342484
"10","Petróleo",2017-07-01,126.941926794707
"11","Petróleo",2017-08-01,125.331005228345
"12","Petróleo",2017-09-01,125.312494886236
"13","Petróleo",2017-10-01,124.826610717304
"14","Gás Natural",2016-10-01,156.350330251501
"15","Gás Natural",2016-11-01,161.291776291017
"16","Gás Natural",2016-12-01,148.413538971078
"17","Gás Natural",2017-01-01,135.395820599454
"18","Gás Natural",2017-02-01,120.476807454878
"19","Gás Natural",2017-03-01,106.317981000523
"20","Gás Natural",2017-04-01,109.718459888397
"21","Gás Natural",2017-05-01,105.647002492779
"22","Gás Natural",2017-06-01,134.281287021392
"23","Gás Natural",2017-07-01,161.874580754853
"24","Gás Natural",2017-08-01,156.247994722223
"25","Gás Natural",2017-09-01,148.63933928225
"26","Gás Natural",2017-10-01,151.395633931389
"27","Produção Total",2016-10-01,296.29569335119
"28","Produção Total",2016-11-01,304.183018327671
"29","Produção Total",2016-12-01,287.636188003033
"30","Produção Total",2017-01-01,271.934758789704
"31","Produção Total",2017-02-01,254.833029232016
"32","Produção Total",2017-03-01,236.591574331978
"33","Produção Total",2017-04-01,236.854708586419
"34","Produção Total",2017-05-01,234.238577782129
"35","Produção Total",2017-06-01,260.845953363876
"36","Produção Total",2017-07-01,288.81650754956
"37","Produção Total",2017-08-01,281.578999950569
"38","Produção Total",2017-09-01,273.951834168486
"39","Produção Total",2017-10-01,276.222244648693
"40","Petróleo",2016-11-01,142.891242036654
"41","Petróleo",2016-12-01,139.222649031955
"42","Petróleo",2017-01-01,136.53893819025
"43","Petróleo",2017-02-01,134.356221777138
"44","Petróleo",2017-03-01,130.273593331455
"45","Petróleo",2017-04-01,127.136248698022
"46","Petróleo",2017-05-01,128.59157528935
"47","Petróleo",2017-06-01,126.564666342484
"48","Petróleo",2017-07-01,126.941926794707
"49","Petróleo",2017-08-01,125.331005228345
"50","Petróleo",2017-09-01,125.312494886236
"51","Petróleo",2017-10-01,124.826610717304
"52","Petróleo",2017-11-01,120.728815649058
"53","Gás Natural",2016-11-01,161.291776291017
"54","Gás Natural",2016-12-01,148.413538971078
"55","Gás Natural",2017-01-01,135.395820599454
"56","Gás Natural",2017-02-01,120.476807454878
"57","Gás Natural",2017-03-01,106.317981000523
"58","Gás Natural",2017-04-01,109.718459888397
"59","Gás Natural",2017-05-01,105.647002492779
"60","Gás Natural",2017-06-01,134.281287021392
"61","Gás Natural",2017-07-01,161.874580754853
"62","Gás Natural",2017-08-01,156.247994722223
"63","Gás Natural",2017-09-01,148.63933928225
"64","Gás Natural",2017-10-01,151.395633931389
"65","Gás Natural",2017-11-01,147.13465782449
"66","Produção Total",2016-11-01,304.183018327671
"67","Produção Total",2016-12-01,287.636188003033
"68","Produção Total",2017-01-01,271.934758789704
"69","Produção Total",2017-02-01,254.833029232016
"70","Produção Total",2017-03-01,236.591574331978
"71","Produção Total",2017-04-01,236.854708586419
"72","Produção Total",2017-05-01,234.238577782129
"73","Produção Total",2017-06-01,260.845953363876
"74","Produção Total",2017-07-01,288.81650754956
"75","Produção Total",2017-08-01,281.578999950569
"76","Produção Total",2017-09-01,273.951834168486
"77","Produção Total",2017-10-01,276.222244648693
"78","Produção Total",2017-11-01,267.863473473548
"79","Petróleo",2016-11-01,139.222649031955
"80","Petróleo",2016-12-01,136.53893819025
"81","Petróleo",2017-01-01,134.356221777138
"82","Petróleo",2017-02-01,130.273593331455
"83","Petróleo",2017-03-01,127.136248698022
"84","Petróleo",2017-04-01,128.59157528935
"85","Petróleo",2017-05-01,126.564666342484
"86","Petróleo",2017-06-01,126.941926794707
"87","Petróleo",2017-07-01,125.331005228345
"88","Petróleo",2017-08-01,125.312494886236
"89","Petróleo",2017-09-01,124.826610717304
"90","Petróleo",2017-10-01,120.728815649058
"91","Petróleo",2017-11-01,118.681294026799
"92","Gás Natural",2016-11-01,148.413538971078
"93","Gás Natural",2016-12-01,135.395820599454
"94","Gás Natural",2017-01-01,120.476807454878
"95","Gás Natural",2017-02-01,106.317981000523
"96","Gás Natural",2017-03-01,109.718459888397
"97","Gás Natural",2017-04-01,105.647002492779
"98","Gás Natural",2017-05-01,134.281287021392
"99","Gás Natural",2017-06-01,161.874580754853
"100","Gás Natural",2017-07-01,156.247994722223
"101","Gás Natural",2017-08-01,148.63933928225
"102","Gás Natural",2017-09-01,151.395633931389
"103","Gás Natural",2017-10-01,147.13465782449
"104","Gás Natural",2017-11-01,144.325410516836
"105","Produção Total",2016-11-01,287.636188003033
"106","Produção Total",2016-12-01,271.934758789704
"107","Produção Total",2017-01-01,254.833029232016
"108","Produção Total",2017-02-01,236.591574331978
"109","Produção Total",2017-03-01,236.854708586419
"110","Produção Total",2017-04-01,234.238577782129
"111","Produção Total",2017-05-01,260.845953363876
"112","Produção Total",2017-06-01,288.81650754956
"113","Produção Total",2017-07-01,281.578999950569
"114","Produção Total",2017-08-01,273.951834168486
"115","Produção Total",2017-09-01,276.222244648693
"116","Produção Total",2017-10-01,267.863473473548
"117","Produção Total",2017-11-01,263.006704543636
