"Poço","Campo","Bacia","Localização","Produção (boe/d)","mes"
"7-MRO-10B-RJS","Anc_Mero / Mero","Santos","Mar",67497,2024-02-01
"7-MRO-6DB-RJS","Anc_Mero / Mero","Santos","Mar",66673,2024-02-01
"7-ATP-6-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",62195,2024-02-01
"7-BUZ-50D-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",61818,2024-02-01
"7-BUZ-18-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",61582,2024-02-01
"7-BUZ-33-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",60524,2024-02-01
"7-BUZ-45DA-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",60432,2024-02-01
"9-BRSA-1254-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",60170,2024-02-01
"3-BRSA-1201-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",56430,2024-02-01
"7-BUZ-10-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",55870,2024-02-01
"7-BUZ-23-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",54619,2024-02-01
"9-ITP-1-RJS","Itapu / Itapu_Eco","Santos","Mar",52884,2024-02-01
"7-BUZ-12-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",52342,2024-02-01
"7-BUZ-25-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",51529,2024-02-01
"9-ATP-1-RJS","Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu","Santos","Mar",51204,2024-02-01
"3-BRSA-1322-RJS","Anc_Mero / Mero","Santos","Mar",51190,2024-02-01
"7-BUZ-30-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",49483,2024-02-01
"3-BRSA-1255-RJS","Anc_Mero / Mero","Santos","Mar",47568,2024-02-01
"7-MRO-3-RJS","Anc_Mero / Mero","Santos","Mar",47568,2024-02-01
"7-ITP-5D-RJS","Itapu / Itapu_Eco","Santos","Mar",46509,2024-02-01
"7-MRO-16D-RJS","Anc_Mero / Mero","Santos","Mar",46173,2024-02-01
"1-BRSA-976-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",45742,2024-02-01
"9-BUZ-4-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",42938,2024-02-01
"7-LL-27-RJS","Tupi","Santos","Mar",42498,2024-02-01
"9-BUZ-3-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",42384,2024-02-01
"7-TUP-121DA-RJS","Tupi","Santos","Mar",41222,2024-02-01
"7-SEP-6-RJS","Sépia / Sépia Leste / Sépia_Eco","Santos","Mar",38517,2024-02-01
"7-ITP-3A-RJS","Itapu / Itapu_Eco","Santos","Mar",37393,2024-02-01
"9-LL-20D-RJS","Tupi","Santos","Mar",35226,2024-02-01
"3-BRSA-1064-RJS","Búzios / Búzios_Eco / Tambuatá","Santos","Mar",34639,2024-02-01
"Total",NA,NA,NA,1524817,2024-02-01
