""	Operador	Petróleo	Gás Natural	Produção Total

""	PETROBRAS	3.021.426	137.722,53	3.887.675
""	EQUINOR BRASIL	104.936	246,08	106.484
""	PETRO RIO JAGUAR	68.511	889,68	74.106
""	TOTALENERGIES EP	28.939	1.016,87	35.334
""	SHELL BRASIL	30.248	307,22	32.180
""	TRIDENT ENERGY	27.313	500,43	30.460
""	KAROON BRASIL	24.721	199,95	25.978
""	ENAUTA ENERGIA	20.549	138,69	21.421
""	PERENCO BRASIL	17.409	69,57	17.847
""	3R PETROLEUM OFF	13.606	594,69	17.347
""	3R POTIGUAR	16.599	51,09	16.921
""	PRIO BRAVO	16.005	47,47	16.304
""	POTIGUAR E&P S.A.	9.854	773,08	14.717
""	ENEVA	276	1.946,51	12.519
""	ORIGEM ALAGOAS	2.674	1.279,00	10.719
""	BW MAROMBA	9.572	131,64	10.400
""	CARMO	8.532	50,59	8.850
""	3R MACAU	6.020	227,33	7.450
""	SPE MIRANGA	1.819	845,63	7.138
""	SEACREST NORTE CAP	6.318	54,09	6.658
""	3R BAHIA	2.020	510,18	5.229
""	3R RIO VENTURA	1.868	349,49	4.066
""	PETRORECÔNCAVO	2.385	83,86	2.913
""	SPE TIÊTA	1.789	69,57	2.227
""	SEACREST SPE CRICARÉ	1.567	89,10	2.127
""	ALVOPETRO	41	182,12	1.186
""	3R FAZENDA BELÉM	789	1,02	796
""	RECÔNCAVO ENERGIA	1	88,20	555
""	3R RNCE	528	0,63	532
""	PETROSYNERGY	338	9,17	395
""	CAPIXABA ENERGIA	329	8,57	383
""	ORIGEM	3	57,64	366
""	MANDACARU ENERGIA	327	0,11	328
""	IMETAME	135	28,85	316
""	PETROM	169	2,49	184
""	NÍON ENERGIA	130	6,26	169
""	PETROBORN	0	26,72	168
""	SLIM DRILLING	162	0,85	167
